04HwQ,rn2kbnr/p6p/b1p1p1N1/3q1p1Q/PppPN3/4P3/1P3PPP/R1B1KB1R b KQkq - 0 11,h7g6 h5h8 f5e4 h8g8,1928,76,91,862,advantage hangingPiece middlegame short,https://lichess.org/SWBWkth7/black#22,Semi-Slav_Defense,Semi-Slav_Defense_Noteboom_Variation
04Hy1,2rq1rk1/1b3pp1/1n1b1n1p/p2Pp3/PpP1P3/3BBN1P/2Q1NPP1/R2R2K1 b - - 0 19,b6c4 d3c4 b7a6 f3d2 a6c4 d2c4,1633,75,92,1167,crushing long master middlegame quietMove,https://lichess.org/JhQBfN1E/black#38,Semi-Slav_Defense,Semi-Slav_Defense_Stoltz_Variation
04I5l,5k2/5bp1/7p/p2r4/2KB4/1PP1R1P1/P6P/8 w - - 5 36,e3f3 d5f5 c4d3 f5f3,1245,284,100,7,crushing discoveredAttack endgame short,https://lichess.org/uBo3xWMr#71,
04ILC,r5k1/pb4pp/1p1b1n1q/6N1/5P2/P2Br1P1/1P2Q2P/R3R1K1 w - - 0 23,e2e3 d6c5 e3c5 b6c5,1445,79,86,301,advantage middlegame pin short,https://lichess.org/zTRzqpj1#45,
04IXh,4r3/2R5/p1p3k1/P7/1bB2P2/6K1/8/8 b - - 1 42,c6c5 c4f7 g6f5 f7e8,1754,116,30,19,crushing endgame fork short,https://lichess.org/9pD5KEiq/black#84,
04Ih2,2Q5/1p3kp1/3p2p1/1Q1Pp3/2N1n3/P7/K1q5/8 w - - 0 33,b5b2 e4c3 a2a1 c2d1 b2c1 d1c1,1316,77,93,2747,endgame long mate mateIn3 pin,https://lichess.org/fdqGyh7K#65,
04Iqb,8/5Npk/1R6/5Pp1/rPK5/8/1r6/8 b - - 0 36,b2f2 f7g5 h7h8 b6b8,1416,76,84,377,endgame mate mateIn2 short,https://lichess.org/wVoKOKgu/black#72,
04Iqy,r1bqk1r1/pp3pbp/2n3p1/2pp4/2B5/2NP2B1/PPP2PPP/R2QK2R w KQq - 0 12,c4d5 g7c3 b2c3 d8d5,1522,75,82,506,advantage intermezzo opening short,https://lichess.org/G3COeYfi#23,Sicilian_Defense,Sicilian_Defense_Old_Sicilian
04IsZ,5k2/2rR1pp1/5b1p/1P5P/P1B5/1K2r3/8/3R4 w - - 0 36,b3b4 f6c3 b4b3 c3d4 b3a2 c7d7,2535,85,91,741,advantage discoveredAttack endgame interference long,https://lichess.org/C6DKCvIN#71,
04Ivl,4q1k1/pp3pp1/2n2n1p/8/2Np4/1P1P1BPb/PBQ2P1P/6K1 w - - 0 22,c4d6 e8e1,600,88,79,270,mate mateIn1 middlegame oneMove,https://lichess.org/e7bBJK0O#43,
04Izo,r1bb1rk1/5ppp/3p2q1/2pP2P1/ppP1PP1P/6Q1/PP1N4/1K1R3R b - - 0 24,b4b3 h4h5 g6e4 d2e4,1657,76,85,121,crushing middlegame short trappedPiece,https://lichess.org/NPUKWwTZ/black#48,
04J3X,r1b1kbnr/pp2pppp/1qnp4/1BpN4/4P3/5N2/PPPP1PPP/R1BQK2R b KQkq - 3 5,b6b5 d5c7 e8d8 c7b5,847,100,94,275,crushing fork opening short,https://lichess.org/BpqKFvyT/black#10,Sicilian_Defense,Sicilian_Defense_Closed
